Intitulé,Entreprise,Lieu,Salaire min,Salaire max,Salaire prédit,Secteur,Skills détectés,Description
Développeur/Développeuse,Qualis Recrutement,"Montigny-le-Bretonneux, Versailles",,,0,Unknown,," [Mission / CDI] Développeur Tableau Software – Saint-Quentin-en-Yvelines (78)  Environnement BI grand compte | Télétravail 3j/sem | Anglais opérationnel Nous recherchons un(e) Développeur Tableau Software confirmé(e) pour prendre en charge la création de dashboards complexes à forte valeur ajoutée métier. ✔️ Excellente maîtrise de Tableau Software ✔️ Solide niveau en SQL ✔️ Anglais opérationnel obligatoire (environnement international) ✔️ Autonomie, rigueur, esprit collaboratif  Poste basé à S…"
Développeur/Développeuse,Conserto,"Bordeaux, Gironde",,,0,Unknown,,"Entreprise Authentique et engagée, notre agence bordelaise rassemble une quarantaine de collaborateurs. Ici, on allie expertise technique, convivialité et une approche humaine, avec un objectif clair : que chaque membre de l'équipe s'épanouit dans son rôle et progresse dans son parcours. Nos expertises : Ingénierie DevOps, SysOps, Cloud, développement Java, .Net, agilistes, testeurs. Nous vous proposons des projets pour nos clients, grandes DSI. Pour vous accompagner dans votre aventure consert…"
Développeur/Développeuse,Conserto,"Niort, Deux-Sèvres",,,0,Unknown,," Envie d'intégrer une entreprise experte en informatique, engagée pour l’environnement ? Cela tombe bien, votre futur poste en tant que Développeur.se Java / Full-stack est ici ! Je vous propose de rejoindre l’agence Niortaise de Conserto  Pourquoi Niort ? Une ville où il fait bon vivre ! Un cadre de vie agréable : la ville à la campagne à 50min de route de l'océan. Un ville centrale, à 2h de Paris en train, 1h30 de Bordeaux et Nantes. Des transports en commun gratuits pour tous. Un bassin d'em…"
Développeur/Développeuse,Mindquest,France,,,0,Unknown,,"Nous sommes à la recherche, pour notre client, d'un développeur Full Stack (C# .NET 8) hautement qualifié qui excelle dans la conception et le développement de produits. Le candidat idéal doit s'assurer d'une compréhension approfondie des exigences en consultant les parties prenantes concernées, faire preuve d'empathie avec les utilisateurs et produire un code qui répond aux besoins réels. Responsibilities Au sein de l'équipe, les missions seront les suivantes : Conception de produits : Collabo…"
Développeur/Développeuse,Silkhom | LUNOPA Group,France,,,0,Unknown,,"Vous rejoindrez la DSI composée de 8 personnes ( 6 développeurs, un administrateur système et réseau et le DSI). Vous interviendrez sur des projets stratégiques liés à l’interopérabilité entre opérateurs télécoms et travaillerez sur différents projets comme : - Développer et maintenir des API robustes et performantes qui permet la communication entre les SI et les parties prenantes - La création et l’évolution des outils internes : gestion des flux, monitoring ou d’outils d’aide à la production…"
Développeur/Développeuse,Groupe CEGI,France,,,0,Emplois Informatique,,"Développeur C# H/F Avez-vous envie de donner du sens à votre travail ? Si vous souhaitez : Permettre aux soignants de se concentrer sur leur métier Aider la bonne prise en charge des patients Contribuer à la révolution de la Santé Alors sortez de vos lignes de code et venez rejoindre nos équipes !  Votre profil  Créatif et autonome, vous avez suivi un cursus de développement informatique et avez une première expérience. Vous aimez le Back mais êtes sensible au Front. Vous maîtrisez C#, .Net et …"
Développeur/Développeuse,Laboratoire Nutergia,"Capdenac-Gare, Villefranche-de-Rouergue",,,0,Unknown,,"Le Laboratoire NUTERGIA , basé au cœur de la nature entre Aveyron et Lot, est un acteur majeur dans le domaine du complément alimentaire et de la santé . Pour accompagner notre développement dans un contexte fortement évolutif, nous recherchons : Un(e) Développeur(euse) Informatique F/H Producteur d’opportunités personnelles et professionnelles, l’Aveyron vous offrira une réelle qualité de vie et de travail. Vos missions Rattaché(e) au Responsable Projet Développement Informatique, votre missio…"
Développeur/Développeuse,ABEO,"Rioz, Vesoul",,,0,Unknown,,"Qui sommes nous ? ABEO est un Groupe français, côté en bourse, qui se positionne parmi les leaders mondiaux du secteur des équipements sportifs et de loisirs composé d'une cinquantaine de filiales présentes en France et à l'étranger. Le Groupe compte actuellement 1 450 salariés dans le monde, dont 440 en France. Les activités d'ABEO se répartissent en trois secteurs d'activités : Les aménagements de vestiaires Sportainment & Escalade La gymnastique et autres sports ABEO et l'ensemble de ses fil…"
Développeur/Développeuse,Emalec,France,,,0,Unknown,,"Rejoignez une équipe qui code sérieusement sans se prendre (trop) au sérieux. Le Groupe Emalec, c'est 350 collaborateurs, 60 millions d'euros de chiffre d'affaires, une présence dans 15 pays européens, et surtout une conviction : le numérique, on le fait maison. Et pour ça, on a développé notre propre écosystème applicatif : ERP Interne, applis mobiles pour techniciens, plateformes pour clients… Bref, un monde digital bien à nous, que nous bichonnons, que nous faisons évoluer et que nous faison…"
Développeur/Développeuse JAVA,Canopee,"Paris, Ile-de-France",,,0,Unknown,,"Quelques mots sur l’Empowering Ecosystem Nous sommes un cabinet de conseil multi-spécialiste. C’est dans le secteur financier que nous avons développé depuis 2009, notre agilité et nos compétences, autour de nos 3 expertises phares : Conseil Métier Finance, Data & Transformation digitale. Ici, l’empowerment est au cœur du quotidien de chacun et nous engageons notre collectif, sur une trajectoire de performance responsable, humaine et économique. Pour intégrer notre client grand compte, nous rec…"
