name,owner,language,stargazers_count,forks_count,html_url,open_issues_count,watchers_count,created_at,updated_at,license,homepage
freeCodeCamp,freeCodeCamp,TypeScript,421848,40596,https://github.com/freeCodeCamp/freeCodeCamp,311,421848,2014-12-24T17:49:19Z,2025-07-01T08:11:54Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://contribute.freecodecamp.org
build-your-own-x,codecrafters-io,Markdown,392920,36573,https://github.com/codecrafters-io/build-your-own-x,394,392920,2018-05-09T12:03:18Z,2025-07-01T08:11:42Z,,https://codecrafters.io
awesome,sindresorhus,,376573,30122,https://github.com/sindresorhus/awesome,42,376573,2014-07-11T13:42:37Z,2025-07-01T08:13:45Z,Creative Commons Zero v1.0 Universal,
free-programming-books,EbookFoundation,Python,361681,63658,https://github.com/EbookFoundation/free-programming-books,39,361681,2013-10-11T06:50:37Z,2025-07-01T07:53:13Z,Creative Commons Attribution 4.0 International,https://ebookfoundation.github.io/free-programming-books/
public-apis,public-apis,Python,354172,37157,https://github.com/public-apis/public-apis,502,354172,2016-03-20T23:49:42Z,2025-07-01T08:13:46Z,MIT License,https://APILayer.com/?utm_source=Github&utm_medium=Referral&utm_campaign=Public-apis-repo
developer-roadmap,kamranahmedse,TypeScript,329685,42245,https://github.com/kamranahmedse/developer-roadmap,249,329685,2017-03-15T13:45:52Z,2025-07-01T08:11:36Z,Other,https://roadmap.sh
coding-interview-university,jwasham,,321672,79418,https://github.com/jwasham/coding-interview-university,73,321672,2016-06-06T02:34:12Z,2025-07-01T08:14:01Z,Creative Commons Attribution Share Alike 4.0 International,
system-design-primer,donnemartin,Python,309270,50930,https://github.com/donnemartin/system-design-primer,502,309270,2017-02-26T16:15:28Z,2025-07-01T08:13:07Z,Other,
996.ICU,996icu,,273318,21095,https://github.com/996icu/996.ICU,16704,273318,2019-03-26T07:31:14Z,2025-07-01T07:29:05Z,Other,https://996.icu
awesome-python,vinta,Python,248477,25880,https://github.com/vinta/awesome-python,491,248477,2014-06-27T21:00:06Z,2025-07-01T08:10:59Z,Other,https://awesome-python.com/
react,facebook,JavaScript,236863,48813,https://github.com/facebook/react,1000,236863,2013-05-24T16:15:54Z,2025-07-01T08:02:55Z,MIT License,https://github.com/EricCH97
awesome-selfhosted,awesome-selfhosted,,234520,10895,https://github.com/awesome-selfhosted/awesome-selfhosted,0,234520,2015-06-01T02:33:17Z,2025-07-01T08:11:54Z,Other,https://awesome-selfhosted.net/
project-based-learning,practical-tutorials,,233511,30542,https://github.com/practical-tutorials/project-based-learning,230,233511,2017-04-12T05:07:46Z,2025-07-01T08:08:53Z,MIT License,
vue,vuejs,TypeScript,209059,33748,https://github.com/vuejs/vue,601,209059,2013-07-29T03:24:51Z,2025-07-01T07:35:47Z,MIT License,http://v2.vuejs.org
Python,TheAlgorithms,Python,202274,46968,https://github.com/TheAlgorithms/Python,404,202274,2016-07-16T09:44:01Z,2025-07-01T07:25:07Z,MIT License,https://thealgorithms.github.io/Python/
linux,torvalds,C,196713,56762,https://github.com/torvalds/linux,477,196713,2011-09-04T22:48:12Z,2025-07-01T08:05:26Z,Other,
javascript-algorithms,trekhleb,JavaScript,191626,30692,https://github.com/trekhleb/javascript-algorithms,365,191626,2018-03-24T07:47:04Z,2025-07-01T07:01:53Z,MIT License,
tensorflow,tensorflow,C++,190531,74732,https://github.com/tensorflow/tensorflow,1370,190531,2015-11-07T01:19:20Z,2025-07-01T08:06:51Z,Apache License 2.0,https://tensorflow.org
computer-science,ossu,HTML,187299,23400,https://github.com/ossu/computer-science,13,187299,2014-05-04T00:18:39Z,2025-07-01T08:11:13Z,MIT License,
You-Dont-Know-JS,getify,,182506,33647,https://github.com/getify/You-Dont-Know-JS,125,182506,2013-11-16T02:37:24Z,2025-07-01T07:37:32Z,Other,
CS-Notes,CyC2018,,180761,51173,https://github.com/CyC2018/CS-Notes,189,180761,2018-02-13T14:56:24Z,2025-07-01T07:34:36Z,,http://cyc2018.xyz
ohmyzsh,ohmyzsh,Shell,179582,26123,https://github.com/ohmyzsh/ohmyzsh,499,179582,2009-08-28T18:15:37Z,2025-07-01T07:25:03Z,MIT License,https://ohmyz.sh
AutoGPT,Significant-Gravitas,Python,176540,45838,https://github.com/Significant-Gravitas/AutoGPT,199,176540,2023-03-16T09:21:07Z,2025-07-01T08:13:51Z,Other,https://agpt.co
the-book-of-secret-knowledge,trimstray,,174864,10895,https://github.com/trimstray/the-book-of-secret-knowledge,94,174864,2018-06-23T10:43:14Z,2025-07-01T08:11:21Z,MIT License,
vscode,microsoft,TypeScript,174041,33394,https://github.com/microsoft/vscode,11189,174041,2015-09-03T20:23:38Z,2025-07-01T07:26:18Z,MIT License,https://code.visualstudio.com
bootstrap,twbs,MDX,172464,79125,https://github.com/twbs/bootstrap,549,172464,2011-07-29T21:19:00Z,2025-07-01T06:52:51Z,MIT License,https://getbootstrap.com
flutter,flutter,Dart,171233,28800,https://github.com/flutter/flutter,12623,171233,2015-03-06T22:54:58Z,2025-07-01T07:58:54Z,"BSD 3-Clause ""New"" or ""Revised"" License",https://flutter.dev
Python-100-Days,jackfrued,Jupyter Notebook,168505,54073,https://github.com/jackfrued/Python-100-Days,728,168505,2018-03-01T16:05:52Z,2025-07-01T08:05:14Z,,
