titre_metier,entreprise,salaire,contract,remote,ville
Deep Tech & Innovation Consulting Intern,HELLO TOMORROW,"1,1K à 1,5K € par mois",Stage,Télétravail fréquent,Paris
Tech Lead Data H/F,KLINT,60K à 75K €,CDI,Télétravail fréquent,Levallois-Perret
Tech Lead .Net - Cloud F/H,ORANGE,45K à 60K €,CDI,Télétravail fréquent,Massy
Tech Lead Java - React/js ou Vue.js H/F,DAVEO,45K à 50K €,CDI,Télétravail fréquent,Lille
Account Executive - Tech,IGNITION PROGRAM,70K à 80K €,CDI,Télétravail fréquent,Paris
Consultant.e Product Manager Tech,IKXO,45K à 65K €,CDI,,Paris
Tech Lead Fullstack Java-JS H/F,VADUO,45K à 75K €,CDI,Télétravail fréquent,Lille
Tech Lead Backend Java H/F,VADUO,45K à 75K €,CDI,Télétravail fréquent,Lille
Tech Lead Data F/H,GROUPE SII,40K à 50K €,CDI,,Le Mans
Tech Talent Acquisition specialist - CDI - Paris,STOCKLY,38K à 45K €,CDI,,Paris
Tech Lead Data (H/F),THÉLIO,45K à 60K €,CDI,Télétravail fréquent,Lyon
Tech Lead / Data Architect (H/F),THÉLIO,50K à 65K €,CDI,Télétravail fréquent,Toulouse
Tech Lead / Data Architect (H/F),THÉLIO,50K à 65K €,CDI,Télétravail fréquent,Bordeaux
Tech Lead (F/H),GROUPE LA CENTRALE,55K à 60K €,CDI,Télétravail fréquent,Paris
LEAD TECH JAVA & IA H/F,VIRTUALEXPO,50 à 55 €,CDI,Télétravail fréquent,Marseille
Tech Lead H/F,FIGARO CLASSIFIEDS,60K à 70K €,CDI,Télétravail fréquent,Paris
Tech Lead GED Nuxeo (50% télétravail) F/H,EDF,47K à 70K €,CDI,Télétravail fréquent,Nanterre
Business developer / tech recruteur Freelance H/F - full Télétravail,BLUECODERS,60K à 200K €,Freelance,Télétravail total,"Lille · Bordeaux · Lyon…Voir plus
+4"
