WantToWorkWith,Nombre
Python,25047
JavaScript,23774
SQL,22400
HTML/CSS,20721
TypeScript,20239
Rust,17232
Go,13837
Bash/Shell (all shells),13744
C#,12921
C++,10873
Java,10668
,9685
C,8275
Kotlin,7379
PHP,5745
PowerShell,4287
Swift,3877
Dart,3709
Zig,3688
Lua,3322
Assembly,3007
Elixir,2895
Ruby,2774
Haskell,2221
R,2177
Scala,1790
GDScript,1667
Clojure,1331
F#,1272
Julia,1263
Lisp,1255
Erlang,1137
OCaml,1080
MicroPython,1039
Visual Basic (.Net),962
Solidity,957
MATLAB,945
Groovy,849
Perl,794
VBA,723
Objective-C,686
Delphi,594
Ada,558
Nim,499
Fortran,487
Crystal,407
Cobol,399
Prolog,396
Apex,389
Zephyr,248
